date,jd,lon,lat,h,x_ecl,y_ecl,z_ecl,vx_ecl,vy_ecl,vz_ecl,x_earth,y_earth,z_earth,vx_earth,vy_earth,vz_earth,vx_surface,vy_surface,vz_surface,v_speed,z_impact
2032-12-22 13:54:35.561,2463589.0795782534,-55.47426168916583,1.7137397839288788,0.018965981965968427,-2790393.9078804986,-5180042.852196534,2462009.2361808866,-6227.261823434845,15785.328062754927,-3562.515392729518,3613382.1232184926,-5252447.328775188,189468.41640866897,-6227.261823434845,15785.328062754927,-3562.515392729518,-6610.276368025145,15521.836051940609,-3562.515392729518,17242.814851654286,15.282419212946985
2032-12-22 13:57:19.307,2463589.08147346,-17.03428460126998,1.3552310688411424,0.011862045250137173,1452355.2125623557,-5638817.344097966,2602889.7186035197,-7609.984130596011,15211.500254966371,-3371.603213120216,6096642.705327468,-1867920.55617049,149840.28224109905,-7609.984130596011,15211.500254966371,-3371.603213120216,-7746.195061685792,14766.926005450709,-3371.603213120216,17012.74080831376,46.04598151052358
2032-12-22 14:04:30.943,2463589.086469246,22.675032516004702,6.764809239534704,0.2942757430260255,5170396.3805112075,-3070159.509085144,2126441.498828424,-8947.972837640817,14491.426780710504,-3260.2198719191374,5844715.291746012,2441905.3254040354,746346.5220410323,-8947.972837640817,14491.426780710504,-3260.2198719191374,-8769.906272171735,14065.223370071053,-3260.2198719191374,16892.92153790831,79.65686416472452
