date,jd,lon,lat,h,x_ecl,y_ecl,z_ecl,vx_ecl,vy_ecl,vz_ecl,x_earth,y_earth,z_earth,vx_earth,vy_earth,vz_earth,vx_surface,vy_surface,vz_surface,v_speed,z_impact
2032-12-22 13:57:02.506,2463589.081279008,-102.13404773413474,7.866323386406073,0.3972767444005183,-6007115.992359472,-1438118.374176499,1589655.4931695142,-4048.191097866756,16378.36195251497,-3999.83317473833,-1328231.9318674451,-6177735.021894627,867191.7464974263,-4048.191097866756,16378.36195251497,-3999.83317473833,-4498.678693058364,16475.218163848578,-3999.83317473833,17540.512790552068,27.458017812336223
2032-12-22 13:56:59.814,2463589.0812478466,-101.52127360312228,7.794507910585907,0.3900994893070386,-5987338.624731839,-1499378.258141809,1607567.299547639,-4083.200173261292,16371.19842551774,-3993.5735523650696,-1262301.5302575356,-6192640.170897382,859321.9136426816,-4083.200173261292,16371.19842551774,-3993.5735523650696,-4534.774669186976,16463.246915580366,-3993.5735523650696,17537.140873637756,27.004990131766757
2032-12-22 13:56:08.301,2463589.080651632,-92.37509851278398,6.329023803221516,0.2577284667273384,-5619954.703082998,-2403008.7898854106,1822714.8657422329,-4577.159849609744,16267.512721097626,-3880.151966011531,-262729.3832411871,-6334331.543680587,698461.7073854458,-4577.159849609744,16267.512721097626,-3880.151966011531,-5039.066644599451,16286.67125211636,-3880.151966011531,17484.376809099354,20.358950493077387
2032-12-22 13:55:32.956,2463589.080242543,-84.71878133306109,5.1500507647104,0.1708811877294763,-5199922.467912729,-3112987.7196082124,1987648.2022817468,-4960.391017002123,16174.390865318539,-3797.723532292257,584731.8906021393,-6325762.3620554395,568727.3034457292,-4960.391017002123,16174.390865318539,-3797.723532292257,-5421.672937339648,16131.751538397648,-3797.723532292257,17437.04817805475,15.100335188769213
2032-12-22 13:55:30.159,2463589.080210171,-83.9080852258819,5.031263969798623,0.163108828276393,-5149544.075458885,-3185106.1948078615,2004476.4736638512,-4999.60501933501,16164.204889327615,-3789.689273351805,674298.4607466367,-6318007.188232479,555642.2824501724,-4999.60501933501,16164.204889327615,-3789.689273351805,-5460.3214234123825,16115.034264341826,-3789.689273351805,17431.901335667462,14.580282252759206
2032-12-22 13:55:12.906,2463589.0800104863,-79.37825002056285,4.391911926252956,0.12436256049682408,-4849486.06556518,-3573963.564912264,2095209.0414413977,-5213.229281151161,16106.59774091928,-3746.9786562866548,1172240.3741354868,-6250687.022640504,485176.0927841547,-5213.229281151161,16106.59774091928,-3746.9786562866548,-5669.036620757825,16021.116614704053,-3746.9786562866548,17402.701021396286,11.912443486164623
2032-12-22 13:55:04.888,2463589.079917682,-77.09386017563229,4.065354779369646,0.10658549269810814,-4686289.77096983,-3762032.699163997,2136920.6217577164,-5317.900133689673,16077.316801064608,-3725.651355581613,1421049.205238461,-6201572.746356127,449161.68437778787,-5317.900133689673,16077.316801064608,-3725.651355581613,-5770.126003366904,15973.692246620625,-3725.651355581613,17387.74499778007,10.805467069074988
2032-12-22 13:54:59.330,2463589.079853356,-75.16612385904166,3.817205232810035,0.093988850391372,-4542166.839486793,-3915067.144521558,2172924.5838094284,-5404.9016571028715,16052.094365181614,-3709.242122360212,1629339.3156340562,-6152071.387924858,421785.04380127345,-5404.9016571028715,16052.094365181614,-3709.242122360212,-5853.517830372052,15933.281054567004,-3709.242122360212,17375.027864052438,10.036100224723736
2032-12-22 13:54:49.559,2463589.0797402696,-71.14650424132888,3.3064649610872907,0.07054555075102692,-4224497.881207438,-4219682.738236069,2242437.6983709964,-5582.195427093499,15999.101638211052,-3675.6287806093383,2057705.8714403808,-6026022.723385901,365415.20855808165,-5582.195427093499,15999.101638211052,-3675.6287806093383,-6021.619985707143,15849.05134205048,-3675.6287806093383,17348.273188650895,9.153564053232799
2032-12-22 13:54:43.766,2463589.079673212,-68.092087561267,2.9584372417349916,0.05648852786705132,-3968206.890934242,-4435631.7642691955,2293280.7314668517,-5713.417545615458,15958.132709202853,-3652.150325691988,2376654.950229678,-5909756.507939387,326987.5459185436,-5713.417545615458,15958.132709202853,-3652.150325691988,-6144.3638370951285,15784.824276689209,-3652.150325691988,17327.783655448016,9.250391479013077
2032-12-22 13:54:41.700,2463589.0796493106,-66.66210789565561,2.7781043017241966,0.04981694722283125,-3844075.5808113487,-4533363.585301932,2313510.130351134,-5773.87390400901,15939.080750551442,-3640.329726584774,2523786.967171005,-5849516.058780249,307071.3486777495,-5773.87390400901,15939.080750551442,-3640.329726584774,-6200.4273921426675,15755.043280898348,-3640.329726584774,17318.16067446165,9.553168219826029
2032-12-22 13:54:40.430,2463589.079634603,-66.45228507802129,2.7702789676027515,0.04953690774992704,-3825947.8921872457,-4546323.585437125,2318123.416372626,-5782.530353141021,15936.13396111956,-3639.4783666686358,2545208.1232351456,-5840272.634728667,306207.04143812926,-5782.530353141021,15936.13396111956,-3639.4783666686358,-6208.409800083598,15750.534435948164,-3639.4783666686358,17316.740167976535,9.594647313231288
2032-12-22 13:54:39.701,2463589.0796261635,-65.97721543797323,2.7060683967753896,0.04726879616147343,-3784081.5003309166,-4578214.109967883,2324072.794237157,-5802.424483973834,15929.851620926143,-3635.3516143158495,2593682.033412716,-5819276.195996399,299114.7857107036,-5802.424483973834,15929.851620926143,-3635.3516143158495,-6226.772846278018,15740.717322063736,-3635.3516143158495,17313.539882183868,9.737350825046681
