t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d
240932743.15436798,3,2251,-2074621156.0363507,147134296149.55298,-10348862.08642219,-30266.48038250022,-522.9229069359998,-0.3777562529684366,-2076976119.0713134,147122795361.10803,-6574317.490958884,-36768.97257615868,13274.756061701773,-2763.4482990366364,0.9666857763576006
240932815.65426564,3,2956,-2076815472.611244,147134258221.62128,-10348889.478066575,-30266.47610354118,-523.3663414540414,-0.3778763794446639,-2077065297.6836648,147122623859.64075,-6538148.284350179,-36960.414120125075,13203.047550965934,-2745.4106055324123,0.9599278506054447
240932815.65426564,3,96,-2076815472.611244,147134258221.62128,-10348889.478066575,-30266.47610354118,-523.3663414540414,-0.3778763794446639,-2077550122.5992622,147122829602.10898,-6578832.176226284,-36923.637657627674,13254.588469548715,-2761.4408929795654,0.9451661478095357
240932883.0502406,3,2069,-2078855311.142623,147134222934.94553,-10348914.949176079,-30266.472120003236,-523.7785588776595,-0.3779880298049914,-2076891428.0759597,147122339242.22043,-6475565.389384732,-37125.05197535162,13052.879734989998,-2703.6757278598516,0.9918526911231996
240933268.37152395,3,2011,-2090517622.619283,147134020657.86343,-10349060.718941618,-30266.449237462304,-526.1353239414098,-0.378626007802404,-2083712847.676623,147124042663.98062,-6813916.195457762,-37540.567128453426,12853.829734956937,-2666.4302851827747,0.9865121363438658
240933402.353306,3,1471,-2094572774.8891826,147133950110.41724,-10349111.462781006,-30266.44123796941,-526.9548072000066,-0.3788476992200456,-2086542790.8882701,147124805566.31042,-6964969.929995196,-37651.982861575,12785.643642292445,-2654.3702769409942,0.9902215701287669
240933533.01393405,3,1449,-2098527406.5995615,147133881205.96112,-10349160.97737961,-30266.43341544659,-527.7539780009255,-0.3790638243446446,-2090358714.2697344,147125999592.66095,-7210014.309799498,-37816.71778256651,12857.183541808645,-2690.0785118127396,0.923244870025006
240933925.74742845,3,2645,-2110414044.1223736,147133673467.60184,-10349309.97594128,-30266.409776124947,-530.156093341541,-0.3797130207653174,-2099797928.646178,147128652853.26483,-7743833.706440117,-38124.93395360869,12630.699222549565,-2652.9957771011204,0.9429874186292905
