date,jd,lon,lat,h,x_ecl,y_ecl,z_ecl,vx_ecl,vy_ecl,vz_ecl,x_earth,y_earth,z_earth,vx_earth,vy_earth,vz_earth,vx_surface,vy_surface,vz_surface,v_speed,z_impact,e,q,tp,node,peri,i
2032-12-22 13:56:47.665,2463589.0811072295,-99.57199114457379,7.480053274345945,0.359429863643655,-5921703.621724209,-1695709.1587512759,1654880.1334702233,-4191.940860864808,16349.945414026723,-3967.903136410672,-1051692.989296376,-6236521.460318361,824847.5750236444,-4191.940860864808,16349.945414026723,-3967.903136410672,-4646.715231255017,16426.636085275793,-3967.903136410672,17526.282857993585,25.576636695994665,0.6615558576493855,0.8514988368656929,2460636.917649242,271.3656093464344,134.3613423769129,3.408201634162633
2032-12-22 13:56:29.992,2463589.08090268,-96.30326631344514,6.95536935930021,0.3110077542302355,-5795919.297126776,-2021218.772149153,1732808.6354454537,-4370.299022073039,16313.136730328075,-3926.786332650632,-695176.5123679743,-6293540.64152724,767272.7030631235,-4370.299022073039,16313.136730328075,-3926.786332650632,-4829.231297218234,16363.829807026967,-3926.786332650632,17507.599829150426,23.192016866861284,0.6615560189135868,0.8514988124517512,2460636.9176391973,271.3655862558089,134.36135418934754,3.4082013074405677
2032-12-22 13:56:00.103,2463589.080556748,-90.62589818130556,6.061582247722062,0.23648496552299736,-5532619.386273976,-2569407.0602332717,1862498.7721385974,-4667.14010746416,16246.535171093323,-3860.8401856219066,-69288.89079137123,-6342570.102376987,669055.4063868556,-4667.14010746416,16246.535171093323,-3860.8401856219066,-5129.6476676990305,16251.587797286495,-3860.8401856219066,17473.79403754532,19.11613082010313,0.6615497291796198,0.8514997265073575,2460636.917575926,271.36561158160345,134.36136284593988,3.408179683732976
2032-12-22 13:55:53.907,2463589.080485032,-89.16570752130467,5.832588619718925,0.2190137699980641,-5455657.237542985,-2706962.563943454,1894410.033393649,-4741.24567973133,16228.915432769947,-3844.652874211035,92395.31804172567,-6344882.344075159,643865.464065495,-4741.24567973133,16228.915432769947,-3844.652874211035,-5203.921851309747,16222.177859131054,-3844.652874211035,17464.856508170917,18.094977954549414,0.6615604422239348,0.8514981264790953,2460636.9176994422,271.36562204721173,134.36130455281383,3.4082217117739293
2032-12-22 13:55:46.990,2463589.0804049773,-87.96056142043498,5.647545445460014,0.20538068547326518,-5389848.062188128,-2818296.4466665466,1920253.7842698304,-4801.265695775236,16214.319708943958,-3831.7362500227023,225894.17297755694,-6343567.408842138,623502.9613880201,-4801.265695775236,16214.319708943958,-3831.7362500227023,-5263.845980753004,16197.847244134153,-3831.7362500227023,17457.391916982673,17.262138240599214,0.6615635088810626,0.8514977317900282,2460636.917723082,271.3655903576833,134.36131786731727,3.4082298499251182
2032-12-22 13:55:44.572,2463589.0803769915,-87.47630860942985,5.566287922160594,0.1995311329552129,-5362710.316783734,-2863149.3450130727,1929856.335891748,-4825.260025970507,16208.510952329354,-3826.1768280817314,279538.47042713896,-6342302.954803758,614559.243529686,-4825.260025970507,16208.510952329354,-3826.1768280817314,-5287.748105494826,16188.126683198361,-3826.1768280817314,17454.379240127462,16.933760714173477,0.6615474149581286,0.8515000594761127,2460636.9175521727,271.3656104206605,134.36137600699342,3.40817094729509
2032-12-22 13:55:32.497,2463589.0802372345,-84.49569862405893,5.127342902406222,0.16938150966783722,-5185997.555338026,-3132516.1891633444,1993339.7280510324,-4971.287331725378,16171.434942421683,-3796.076505684149,609378.358712479,-6323660.144662918,566226.0869154944,-4971.287331725378,16171.434942421683,-3796.076505684149,-5432.4159559350555,16126.998366491303,-3796.076505684149,17435.6363883891,14.952357546172689,0.6615728503884123,0.8514963108840178,2460636.917833506,271.36559985299203,134.3612668229914,3.4082631545854185
2032-12-22 13:55:29.932,2463589.0802075514,-83.85029800012468,5.028520806905381,0.16293146061889086,-5145873.817885561,-3189932.4354437348,2006226.6318820745,-5002.390394861125,16163.401703941887,-3789.442383777263,680673.1459784904,-6317350.160785,555340.0806195098,-5002.390394861125,16163.401703941887,-3789.442383777263,-5463.05888773581,16113.766229523413,-3789.442383777263,17431.533153758046,14.541206741260856,0.6615368775604269,0.8515015695713039,2460636.9174387786,271.3656294240787,134.36140532691323,3.4081324481666853
2032-12-22 13:55:22.530,2463589.080121875,-81.87510248298507,4.743793089608711,0.14504261270297666,-5018745.384534714,-3362342.3112466293,2046333.4376345398,-5096.571302065509,16138.440117393384,-3770.335257069637,898384.3174292252,-6292773.349415334,523966.3938215566,-5096.571302065509,16138.440117393384,-3770.335257069637,-5555.447625380936,16072.928892117097,-3770.335257069637,17418.882554288768,13.323376937644515,0.6615562927390739,0.8514987079879767,2460636.9176497725,271.36562403385454,134.36131559392553,3.4082059038374353
2032-12-22 13:55:18.426,2463589.080074373,-81.06422636096198,4.617850916499031,0.13745947107312648,-4965180.437080701,-3432043.974121874,2061234.8186690982,-5134.529213873282,16128.3377714748,-3762.0793040139088,987524.9477105604,-6280544.509734507,510085.02199337794,-5134.529213873282,16128.3377714748,-3762.0793040139088,-5592.513796031104,16056.326308161922,-3762.0793040139088,17413.645964089792,12.851921826610692,0.6615559122912115,0.851498821146932,2460636.917653646,271.3656214045265,134.36133250113627,3.4082015846489773
2032-12-22 13:55:02.875,2463589.0798943867,-76.33680286555528,3.957934120056226,0.1010358226387021,-4630323.910271223,-3823196.287229341,2150326.0743560246,-5352.261676124892,16067.538173784766,-3718.675893670597,1503060.032431943,-6183057.547811168,437311.6624674306,-5352.261676124892,16067.538173784766,-3718.675893670597,-5803.1373960729015,15957.933294805798,-3718.675893670597,17382.76701452729,10.487635678440395,0.6615521029354261,0.8514993456716909,2460636.917605689,271.3656181480545,134.36134552448365,3.4081887248491265
2032-12-22 13:55:02.209,2463589.0798866744,-76.1845930903987,3.9489368141236056,0.10057769739645403,-4618982.1552941175,-3834717.68629633,2154199.551167359,-5359.103625330023,16065.43033328054,-3717.9317097600992,1519496.6547053142,-6179108.930991227,436319.0645076565,-5359.103625330023,16065.43033328054,-3717.9317097600992,-5809.691407564737,15954.62687676227,-3717.9317097600992,17381.76197128117,10.418736391740529,0.6615487418465321,0.8514998243865314,2460636.917570074,271.3656232477965,134.36135630202025,3.408176060422254
2032-12-22 13:55:02.459,2463589.079889572,-76.07199247658501,3.9330810405079455,0.09977287439802304,-4610387.2892309455,-3843900.6273599965,2156244.0958871436,-5364.2945992689265,16063.939456601955,-3716.8989614174807,1531666.0283786599,-6176226.991779864,434569.80370201776,-5364.2945992689265,16063.939456601955,-3716.8989614174807,-5814.6722271573935,15952.248595256242,-3716.8989614174807,17381.02373980073,10.374807424154007,0.661546198454601,0.8515001936144898,2460636.917540743,271.36562337165043,134.3613665608513,3.408167463053364
2032-12-22 13:54:55.020,2463589.079803467,-73.70991589222109,3.6099283613748634,0.08407147912513244,-4429987.811669846,-4028619.076336067,2196831.335584671,-5469.651480530726,16033.239252369014,-3695.91274891386,1785568.6428844733,-6110093.748700083,398911.7626904971,-5469.651480530726,16033.239252369014,-3695.91274891386,-5915.206595713218,15903.03351820726,-3695.91274891386,17365.36539203183,9.606954842088763,0.6615669474542939,0.8514972098469,2460636.917759604,271.36557793456416,134.36131160371505,3.4082409489043966
2032-12-22 13:54:51.168,2463589.079758887,-71.84005469549139,3.3855456483018838,0.07395650334194458,-4280925.469033479,-4169005.647132919,2230179.507018065,-5552.00134795175,16008.372814374163,-3680.960884476595,1984455.4581601718,-6050006.901109327,374145.1882315809,-5552.00134795175,16008.372814374163,-3680.960884476595,-5993.174860592555,15863.664023216386,-3680.960884476595,17352.909098597134,9.231690266962612,0.6615567441690857,0.8514986676202981,2460636.9176588138,271.365615251328,134.36132859963476,3.408204499497457
2032-12-22 13:54:49.225,2463589.0797363995,-70.92001211870341,3.282587015534961,0.06953141040439142,-4205859.443497534,-4236056.542660225,2246598.0725748646,-5592.054894551048,15996.039548016963,-3673.981699929854,2081560.0715168016,-6017983.929541991,362779.11076892866,-5592.054894551048,15996.039548016963,-3673.981699929854,-6030.893255004015,15844.249775949838,-3673.981699929854,17346.759522958717,9.134385446389349,0.6615540122684621,0.8514990426892998,2460636.917626262,271.3656147035297,134.3613378945306,3.4081949637146045
2032-12-22 13:54:48.463,2463589.079727582,-70.86757201065299,3.259984576809505,0.06857818614334292,-4201849.922807321,-4240468.610977881,2245777.098530581,-5594.19724502091,15995.56761303615,-3672.7703095012707,2087113.6070202773,-6016210.1015493,360283.7717354996,-5594.19724502091,15995.56761303615,-3672.7703095012707,-6032.906255881529,15843.372870725902,-3672.7703095012707,17346.402034988754,9.14429561776513,0.6615452525370611,0.8515003548563513,2460636.917532943,271.3656315641422,134.36136691642804,3.4081637632382376
2032-12-22 13:54:43.734,2463589.079672844,-68.15973233604026,2.944481775314024,0.05595730868047218,-3974151.4851003783,-4431982.6034609,2290039.6867441875,-5710.500112463235,15959.295394582874,-3651.6404620186945,2369705.4573737457,-5912631.586689484,325446.3951926569,-5710.500112463235,15959.295394582874,-3651.6404620186945,-6141.65605801637,15786.493727139823,-3651.6404620186945,17328.23711160043,9.258490480380459,0.6615563572247694,0.8514987208349171,2460636.917646592,271.3656107436595,134.36132741446647,3.4082050227670506
2032-12-22 13:54:40.006,2463589.079629704,-65.69441338352563,2.6718010214624663,0.04608007211753011,-3758741.6627450525,-4597043.253920439,2328021.912503865,-5814.366154677786,15926.022316852244,-3633.073415217979,2622445.9430149593,-5806564.32280759,295329.7002189988,-5814.366154677786,15926.022316852244,-3633.073415217979,-6237.78755246133,15734.790520376377,-3633.073415217979,17311.639111018096,9.825928207157055,0.6615507690325687,0.8514995471660632,2460636.917589309,271.3656157088812,134.36135336153347,3.408184262196754
2032-12-22 13:54:37.345,2463589.0795989,-63.84581836262831,2.4776086052987356,0.03962901923874117,-3592487.104975843,-4714693.365274535,2355065.7024354097,-5891.00351729107,15900.930107852239,-3619.5845055131017,2808814.3643882605,-5719806.32456476,273877.8316041201,-5891.00351729107,15900.930107852239,-3619.5845055131017,-6308.098421326739,15696.10811016726,-3619.5845055131017,17299.170716879868,10.501670808632259,0.6615554699401485,0.8514988901926276,2460636.917639396,271.36561113385005,134.36133765750068,3.4082031123390744
2032-12-22 13:54:37.265,2463589.0795979765,-63.755974598521576,2.4772182736090955,0.039616541198734784,-3584262.6991673256,-4719867.075520691,2357232.9718427286,-5894.716523387874,15899.610519253276,-3619.3398182192927,2817780.7808051296,-5715396.54038696,273834.70968267904,-5894.716523387874,15899.610519253276,-3619.3398182192927,-6311.4898608522135,15694.134680094876,-3619.3398182192927,17298.566077578358,10.5324235380768,0.6615352143848374,0.8515017990277746,2460636.9174181004,271.365625640488,134.36141409182733,3.4081259696885233
2032-12-22 13:54:36.930,2463589.0795940924,-63.12553774063752,2.389854441525717,0.03687306072334709,-3526468.1471241503,-4759912.010655236,2363872.172708962,-5920.676444826154,15891.242328579212,-3613.7576067409477,2880680.7638516217,-5684410.025067115,264182.880710908,-5920.676444826154,15891.242328579212,-3613.7576067409477,-6335.190209693039,15681.179749782452,-3613.7576067409477,17294.31344049991,10.825135465885243,0.661551957003295,0.8514993629395403,2460636.9176052036,271.365620597503,134.3613446544978,3.408188879201411
2032-12-22 13:54:35.659,2463589.079579389,-62.37176361419207,2.322021420692964,0.03481067735539576,-3457027.7437016782,-4805077.198673234,2375041.8701228113,-5951.43312704613,15880.894578870422,-3608.7518871411485,2955354.542132204,-5646292.7834859425,256688.37960086996,-5951.43312704613,15880.894578870422,-3608.7518871411485,-6363.167338495075,15665.386701645959,-3608.7518871411485,17289.225814730435,11.172729336512518,0.6615440895017892,0.851500557625174,2460636.9175152075,271.365611159952,134.36139165890825,3.4081584021943105
2032-12-22 13:54:35.534,2463589.0795779396,-61.61044846016503,2.2536506162077257,0.032791905780715905,-3385825.9527121764,-4850097.739169703,2386077.561440662,-5982.524941257281,15870.372715168616,-3603.6724234943053,3030258.848612116,-5606790.088392086,249134.1122472228,-5982.524941257281,15870.372715168616,-3603.6724234943053,-6391.378570412982,15649.40272913307,-3603.6724234943053,17284.096179574597,11.549376731692618,0.6615498537899029,0.8514997098924372,2460636.917580294,271.3656056694316,134.36137111500958,3.4081776771189274
2032-12-22 13:54:36.123,2463589.0795847536,-61.4200967658433,2.237488325709162,0.03232348346446057,-3367680.6996065504,-4861313.656410765,2388930.2690243465,-5990.379359876141,15867.694035302296,-3602.4328398469706,3048902.6023167465,-5596752.927618982,247348.29601901444,-5990.379359876141,15867.694035302296,-3602.4328398469706,-6398.501067639422,15645.364525146344,-3602.4328398469706,17282.817172061343,11.646460628429791,0.6615536196634486,0.8514991506171998,2460636.917616072,271.36560077381654,134.36135266878338,3.4081936157639503
2032-12-22 13:54:36.502,2463589.079589138,-61.32178316440566,2.2284577524235925,0.032063220823715884,-3358266.022529005,-4867133.571663802,2390332.970169506,-5994.443498424643,15866.313911104404,-3601.762188480389,3058520.1017129864,-5591546.997189935,246350.47473628283,-5994.443498424643,15866.313911104404,-3601.762188480389,-6402.185583709555,15643.283081749843,-3601.762188480389,17282.1577555115,11.69764349525882,0.6615625798578774,0.8514978127135175,2460636.917718116,271.3656112613112,134.36130134242612,3.4082274889978934
2032-12-22 13:54:35.439,2463589.0795768397,-60.33542549995514,2.127567525343954,0.029226979625386847,-3265205.9318188066,-4924102.872741248,2402555.4545620135,-6034.223487998055,15852.862856241456,-3594.6095488594874,3154530.113978039,-5538434.003051512,235202.34823982813,-6034.223487998055,15852.862856241456,-3594.6095488594874,-6438.0925122147855,15622.830865557327,-3594.6095488594874,17275.505701958442,12.240448791547323,0.6615606121084413,0.8514981510441659,2460636.917699035,271.36560912825274,134.36131872953288,3.408220832794702
2032-12-22 13:54:35.039,2463589.0795722078,-59.00377932022577,2.0067952425638578,0.02600427945697792,-3137564.3454220956,-4998153.057288506,2419666.833475751,-6087.673345417628,15834.477779113427,-3585.5869371895005,3282635.109661174,-5464038.622856776,221856.3848939112,-6087.673345417628,15834.477779113427,-3585.5869371895005,-6486.117372317622,15595.104223724307,-3585.5869371895005,17266.540707404252,13.014991280076021,0.6615545520074433,0.8514990013704319,2460636.917629566,271.3656103713008,134.36134050387733,3.408197811304095
2032-12-22 13:54:35.443,2463589.079576886,-58.90054893704346,2.004847740296297,0.025953852113401524,-3127403.7311835648,-5003521.668948424,2421724.262031434,-6091.875054722158,15832.950484626617,-3585.2041816974424,3292478.257005928,-5458121.811631503,221641.16789227305,-6091.875054722158,15832.950484626617,-3585.2041816974424,-6489.88762089251,15592.859155529051,-3585.2041816974424,17265.850312117294,13.072245312848489,0.6615534888405842,0.851499184067071,2460636.917627484,271.36562366771597,134.36134313610955,3.408193935675216
2032-12-22 13:54:35.025,2463589.0795720536,-57.707973804139996,1.8911953588368091,0.02309568560759851,-3011545.0623900886,-5067553.886994618,2435390.221374926,-6139.271007597879,15816.544763710646,-3576.831394590459,3405590.890341766,-5388772.343237655,209081.1114068192,-6139.271007597879,15816.544763710646,-3576.831394590459,-6532.226530186103,15568.205130340291,-3576.831394590459,17257.83060663619,13.817500743011287,0.6615564617055363,0.8514987778733871,2460636.9176539653,271.36560514883314,134.36134466313888,3.408204477846189
2032-12-22 13:54:35.031,2463589.079572119,-56.66660766596761,1.8165229769422926,0.021308445429411738,-2909087.910006933,-5120561.4226789,2449018.137783616,-6180.420505706528,15801.948192583632,-3570.5399109959603,3503111.19288095,-5326209.863359128,200828.41566156852,-6180.420505706528,15801.948192583632,-3570.5399109959603,-6568.8138997784245,15546.49726576713,-3570.5399109959603,17250.844864540464,14.48196562770261,0.6615465237478955,0.8515001902314866,2460636.9175434946,271.3656161080545,134.36137519109585,3.40816695868264
2032-12-22 13:54:35.936,2463589.079582588,-55.18050574559166,1.6947762788828344,0.01854868423110267,-2760846.5097113536,-5194094.316390791,2465713.3598657646,-6238.77915937594,15781.216184775049,-3560.8196776461455,3640299.2265403615,-5233903.390793411,187372.43089600932,-6238.77915937594,15781.216184775049,-3560.8196776461455,-6620.441458523989,15515.761347600906,-3560.8196776461455,17240.897078695223,15.48019851850398,0.6615556845706587,0.8514987798518452,2460636.9176399857,271.36561097716975,134.36132776955168,3.4082010918526873
2032-12-22 13:54:35.923,2463589.0795824477,-54.9235604497727,1.6608563076521103,0.017813832665788957,-2735113.3940988863,-5207015.5996930525,2467139.0023148432,-6248.771172965187,15777.770121801024,-3558.586486722855,3663796.886152397,-5217615.015709628,183623.29816889158,-6248.771172965187,15777.770121801024,-3558.586486722855,-6629.245704930755,15510.601808064073,-3558.586486722855,17239.176455044188,15.664616844276479,0.6615454970380585,0.8515002955037289,2460636.9175392613,271.3656437572501,134.3613551826521,3.4081676598651605
2032-12-22 13:54:37.321,2463589.0795986224,-52.892048578685554,1.5150326488651684,0.014823717930882677,-2528884.949031794,-5299956.213613515,2489143.756215973,-6327.531860354212,15749.21640719261,-3546.005421273564,3846721.877841737,-5084811.156138406,167504.90056461236,-6327.531860354212,15749.21640719261,-3546.005421273564,-6698.322181016062,15468.70899112859,-3546.005421273564,17225.638807911182,17.090338825240874,0.6615504055806948,0.8514995636385266,2460636.9175801235,271.3656056125341,134.36135724371104,3.4081805492627355
2032-12-22 13:54:37.568,2463589.0796014834,-52.881454686745364,1.5338700872739481,0.015194550107358958,-2527668.742047802,-5299553.977797949,2491234.625170703,-6327.997535093781,15748.859430183973,-3546.7545984418234,3847628.768208577,-5084055.92597966,169587.1290335711,-6327.997535093781,15748.859430183973,-3546.7545984418234,-6698.732783497461,15468.285882623697,-3546.7545984418234,17225.5727693696,17.087261154503036,0.6615640100005411,0.8514976184111548,2460636.9177368027,271.3656095761398,134.36129965350975,3.4082321454545856
2032-12-22 13:54:37.795,2463589.079604108,-52.449460006005445,1.4916284640326913,0.014369362741322738,-2483431.571466362,-5318945.305810389,2494397.7338048466,-6344.589195520206,15742.903307209765,-3543.5851241147748,3885926.0969693325,-5054998.720161571,164917.8547840668,-6344.589195520206,15742.903307209765,-3543.5851241147748,-6713.205558810559,15459.537074065767,-3543.5851241147748,17222.700454664668,17.404777366757955,0.661553967551336,0.8514991033736397,2460636.917625993,271.3656108171954,134.36134657169515,3.4081940599438507
2032-12-22 13:54:39.898,2463589.0796284494,-51.32031932685719,1.4150128325563456,0.012931428851298821,-2366430.041921174,-5366842.063164934,2505523.242060527,-6388.014837829986,15726.913614140418,-3536.6495177173338,3984918.44599275,-4977607.895081576,156448.7531981822,-6388.014837829986,15726.913614140418,-3536.6495177173338,-6750.987772492108,15436.328744215161,-3536.6495177173338,17215.2249713732,18.227562030454916,0.6615464560085241,0.8515001744262432,2460636.9175374755,271.36560542427316,134.36137988981784,3.408166848633036
2032-12-22 13:54:40.159,2463589.079631465,-51.005357263978894,1.397244805717563,0.012608775541917529,-2333759.3193652816,-5379602.204550868,2508800.340966997,-6400.024553725681,15722.432102930195,-3534.8560854771895,4012250.7666807105,-4955664.42303959,154484.63437739015,-6400.024553725681,15722.432102930195,-3534.8560854771895,-6761.397344983252,15429.854128513716,-3534.8560854771895,17213.13742549549,18.45824003212455,0.6615635159053606,0.8514976911270735,2460636.917725772,271.3655906026215,134.36131641857324,3.4082290735683056
2032-12-22 13:54:40.406,2463589.0796343274,-50.571099346056805,1.3646233561517342,0.012027001904204688,-2288655.820369644,-5397281.527055266,2512377.010793787,-6416.518014708202,15716.34693643157,-3532.043219230647,4049750.1306095477,-4925179.299731517,150878.54682859825,-6416.518014708202,15716.34693643157,-3532.043219230647,-6775.667795454719,15421.034464951417,-3532.043219230647,17210.267497807665,18.782389524139855,0.6615556490836114,0.8514987738508261,2460636.9176391605,271.3656097401062,134.3613277605108,3.4082002317020335
2032-12-22 13:54:42.971,2463589.0796640213,-49.34409071442217,1.2873656812313339,0.010703959142328771,-2159664.3444985515,-5445105.969863225,2523351.4394214917,-6463.1934453723625,15698.897393860198,-3524.630004104366,4154415.789131253,-4837478.77788609,142338.03176822932,-6463.1934453723625,15698.897393860198,-3524.630004104366,-6815.948002457914,15395.952581297192,-3524.630004104366,17202.19520071768,19.701023384702413,0.6615442771203883,0.8515004673242182,2460636.9175159303,271.36561673047186,134.36137834636435,3.40815913974085
2032-12-22 13:54:43.127,2463589.0796658224,-49.08078683208386,1.280495017278366,0.010590028575408528,-2132010.7705416405,-5454529.842816413,2526512.5883099395,-6473.111467054602,15695.08391807226,-3523.429957468782,4176613.647162295,-4818348.841930388,141578.49615940172,-6473.111467054602,15695.08391807226,-3523.429957468782,-6824.47104704672,15390.520411983654,-3523.429957468782,17200.46750204345,19.895725474660786,0.6615608573951725,0.8514980511452315,2460636.917700897,271.3656095425931,134.36131123467348,3.408221347177781
2032-12-22 13:54:43.491,2463589.0796700367,-48.79335621056583,1.2444446698474774,0.010002220936126873,-2101718.990679099,-5466026.147106148,2527047.097728837,-6483.920091934255,15691.183655702318,-3520.953694615423,4200790.242643382,-4797401.488703271,137593.1839473918,-6483.920091934255,15691.183655702318,-3520.953694615423,-6833.752166659884,15384.857164260733,-3520.953694615423,17198.578823834818,20.122614465534635,0.661554038121491,0.8514990532374348,2460636.9176218896,271.3656039403426,134.36134591594907,3.4081934857356617
2032-12-22 13:54:44.165,2463589.079677833,-48.649897493251935,1.2575332326542477,0.010213692851840532,-2086328.1334706778,-5470348.916363992,2530444.475481146,-6489.420262687714,15688.907059711106,-3520.968220304096,4212768.190471366,-4786844.849334515,139040.11119543808,-6489.420262687714,15688.907059711106,-3520.968220304096,-6838.482535039871,15381.707122436503,-3520.968220304096,17197.64444890202,20.221099310741007,0.661560812849749,0.8514980610822348,2460636.9177021417,271.36561821295095,134.3613046317622,3.408220842761154
2032-12-22 13:54:44.451,2463589.0796811483,-48.53213721246493,1.251247172681135,0.010111853010602172,-2073820.7522728816,-5474617.550071912,2531493.977606097,-6493.8702316189065,15687.219340713364,-3520.293173595772,4222607.718817433,-4778187.548736123,138345.19455148932,-6493.8702316189065,15687.219340713364,-3520.293173595772,-6842.301203581261,15379.301893631893,-3520.293173595772,17196.874033499927,20.310339895507468,0.6615567367943715,0.8514986908076361,2460636.9176520724,271.36559950261636,134.36134089164554,3.4082041393994698
2032-12-22 13:54:45.180,2463589.079689582,-48.314131570347335,1.234056822924102,0.009835958357833002,-2050561.353504262,-5482739.833626252,2532862.7367174393,-6502.125279451339,15684.136177649605,-3518.814098824658,4240784.9436685555,-4762116.910081214,136444.81317233574,-6502.125279451339,15684.136177649605,-3518.814098824658,-6849.384361823871,15374.893226272237,-3518.814098824658,17195.44883151808,20.47839824034557,0.6615534056258882,0.8514991635436912,2460636.917620604,271.3656180298613,134.36134049270376,3.408193652133857
2032-12-22 13:54:47.511,2463589.079716563,-47.108137918834274,1.1845770910816231,0.00906312917922805,-1922048.0607560314,-5523858.360630467,2544278.218789347,-6547.382938460451,15666.74457446195,-3512.4485504945264,4340151.922780237,-4671890.247038383,130974.79751334246,-6547.382938460451,15666.74457446195,-3512.4485504945264,-6888.062588029168,15350.255667843247,-3512.4485504945264,17187.58418465585,21.395396424154082,0.6615488082531346,0.8514998456605828,2460636.917572108,271.36562281003745,134.36136004869124,3.408177412183472
2032-12-22 13:54:48.348,2463589.079726248,-46.537091121331116,1.1482108918890146,0.008515271174435088,-1861020.206004479,-5543013.217365008,2547987.4127885452,-6568.645158718619,15658.648474719803,-3508.8893513802423,4386554.60150176,-4628461.179616249,126954.4311873219,-6568.645158718619,15658.648474719803,-3508.8893513802423,-6906.157910374901,15338.77583100755,-3508.8893513802423,17183.869341832324,21.839952353829027,0.6615601969362328,0.8514981652114555,2460636.917700251,271.36561942315956,134.3613117360942,3.4082173111490497
2032-12-22 13:54:48.120,2463589.079723608,-46.432874826742605,1.133194403766812,0.00829402754602403,-1850039.6946132358,-5546785.322957274,2547774.970469359,-6572.447769057144,15657.274974136986,-3507.908634733734,4394988.759053408,-4620498.5374426525,125294.30974109052,-6572.447769057144,15657.274974136986,-3507.908634733734,-6909.379875620776,15336.787301884428,-3507.908634733734,17183.18940122922,21.925290811577813,0.6615561600350248,0.8514987945815834,2460636.917646702,271.36560059697115,134.36134466730417,3.4082030243477064
2032-12-22 13:54:51.918,2463589.07976757,-45.02125043144395,1.078267992242519,0.007509573638485749,-1697491.307987839,-5590055.063539422,2559382.5889600758,-6624.9861170076465,15636.82547552184,-3500.391176258465,4507563.210082994,-4510908.071015238,119221.94732873328,-6624.9861170076465,15636.82547552184,-3500.391176258465,-6953.926759790161,15308.12874387379,-3500.391176258465,17174.06886577461,23.019577696171805,0.6615432402771174,0.8515006254450782,2460636.917505824,271.36562241450986,134.36137925338818,3.408155345216426
