m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.476395,-53933852872.70805,-589120540.5491654,28689.870123808552,-27502.681579502227,-4878.693714559034
4.867466257521635e+24,85867685278.11691,65805003527.72206,-4048904997.6758375,-21408.577743823982,27647.2065841689,1615.4095554863495
5.972365262433514e+24,-2117988288.7206538,147133540603.15854,-10349405.051821658,-30266.394613754706,-531.6867427524769,-0.3801263626218788
7.346031390779777e+22,-2486870167.976136,147295919070.9296,-38371067.86544897,-30671.102591065028,-1410.1597316106433,52.053541725127765
6.417120205436417e+23,-246481683319.8543,-8600683429.075699,5860214478.739833,1745.1037399397833,-22144.031758048706,-506.87657196308345
1.8981871943454438e+27,490753637407.8151,-581147155569.1638,-8562708687.532366,9832.079964872382,9048.20299944555,-257.5581010964585
5.683361026390224e+26,-74249896608.97646,1346078553895.0269,-20401998201.443367,-10161.811912899284,-546.7861262871364,414.34097669858363
8.681273407389496e+25,40663727514.438324,2844899353345.19,9998455885.888325,-6853.394991055366,-214.48366682816697,87.77182051838521
1.0241261669693524e+26,4280568711705.9614,1262752179710.342,-124779536614.58627,-1567.4746291429253,5253.583105065036,-72.3586096275277
0.0,-2599509073.4825916,147281630876.88205,-37871928.5943879,-36321.309489898726,11040.988994429275,-2195.852424723055
0.0,-2474557613.03329,147244357835.43393,-30476977.43951163,-36292.0234614842,11103.765257524128,-2204.078148625906
0.0,-2354147085.08606,147208554381.16458,-23396385.846206,-36224.34405509938,11197.252892172872,-2219.2241726100483
0.0,-2431819468.454782,147231629696.15173,-27956976.697150365,-36274.24675010591,11129.141216835107,-2207.850519498606
0.0,-2589934618.0995307,147278766022.45886,-37303257.943065435,-36319.299062070306,11045.243296494507,-2196.3569601924287
0.0,-2338633539.437329,147203969005.66513,-22490871.41611046,-36210.240858138146,11215.706639714237,-2222.5503179577895
0.0,-2664773335.138265,147301092040.2012,-41738432.370494604,-36333.29053306266,11014.840743298008,-2192.948498175649
0.0,-2546421237.671319,147265788868.04706,-34726472.62925722,-36309.46223831754,11066.419473309816,-2199.0026115254213
0.0,-2469261917.7798734,147242786160.68527,-30166188.708006687,-36290.17203557927,11106.539869302753,-2204.473903411107
0.0,-2386292076.0117044,147218097234.18802,-25281248.11825466,-36248.41790384262,11164.914359818324,-2213.6309478594508
0.0,-2417409989.1313744,147227350581.86166,-27109756.213208865,-36266.90079158086,11139.398490127465,-2209.460157557992
0.0,-2413853121.928164,147226288547.80127,-26901813.41760755,-36264.98290551332,11142.074027846493,-2209.8817148365306
0.0,-1982297568.753012,147089140279.9701,135829.27510396918,-36595.58785187259,11167.824275239773,-2201.4490209681
0.0,-2592674885.686348,147279585424.60907,-37464755.43262821,-36319.88139164948,11044.012849474679,-2196.2106664229655
0.0,-2182836837.291783,147158563320.7348,-13629157.350433884,-35691.36040899877,11792.94755990088,-2356.5309881299536
0.0,-2320169174.3894944,147198512212.18353,-21415109.305210855,-36190.666441272006,11240.8261065203,-2227.213381011219
0.0,-2394963693.1936846,147220675573.2004,-25790957.429743554,-36253.97386607018,11157.300675107039,-2212.362141600952
0.0,-2177817249.6369615,147157162115.93692,-13365550.72945612,-35628.666238597565,11855.160760405812,-2373.909225957166
0.0,-2338676991.6024756,147203981762.37875,-22493518.665243898,-36210.282327053086,11215.654675471778,-2222.54054335238
0.0,-2487834958.3905487,147248319146.25357,-31261918.83480773,-36296.106135316,11097.094816460067,-2203.1401796731843
