date,jd,lon,lat,h,x_ecl,y_ecl,z_ecl,vx_ecl,vy_ecl,vz_ecl,x_earth,y_earth,z_earth,vx_earth,vy_earth,vz_earth,vx_surface,vy_surface,vz_surface,v_speed,z_impact
2032-12-22 13:56:15.423,2463589.080734057,-93.61744674094473,6.53192635957544,0.27444744325926057,-5678385.693557174,-2283285.5153609826,1795320.2392099716,-4512.652817317934,16281.9901356991,-3894.9466872124754,-399847.0780825962,-6324654.622976979,720761.9613809655,-4512.652817317934,16281.9901356991,-3894.9466872124754,-4973.853960038456,16311.147447887373,-3894.9466872124754,17491.808482222197,21.24812385719256
2032-12-22 13:56:08.195,2463589.0806504106,-92.3731571250723,6.318468673937058,0.2568729363308318,-5619994.963192415,-2403659.5144927828,1821732.4564406243,-4577.216424940741,16267.65795265477,-3879.4798339588183,-262520.04187038355,-6334468.057803993,697301.4004333307,-4577.216424940741,16267.65795265477,-3879.4798339588183,-5039.133174698489,16286.801218258208,-3879.4798339588183,17484.36789985549,20.360181412806494
2032-12-22 13:56:05.403,2463589.080618092,-91.80071516302245,6.23533434317688,0.25018373977823116,-5591960.031807827,-2458119.176781832,1835283.2768186557,-4606.814660293657,16260.752062884918,-3873.3981813695586,-199251.71911081416,-6337772.770018385,688161.7969735599,-4606.814660293657,16260.752062884918,-3873.3981813695586,-5068.972393494849,16275.281729091368,-3873.3981813695586,17480.91788089931,19.950532949656687
2032-12-22 13:56:03.271,2463589.080593413,-91.37527743254742,6.173665396994602,0.24527805568647684,-5570775.123220526,-2498404.189207001,1845283.8872729705,-4628.693988641191,16255.607532399743,-3868.9116178511417,-152204.43710270454,-6339809.549842884,681381.1501767708,-4628.693988641191,16255.607532399743,-3868.9116178511417,-5091.000246186956,16266.706456294161,-3868.9116178511417,17478.343730132478,19.647022945246608
2032-12-22 13:55:53.096,2463589.080475646,-89.16268986627861,5.824741658344783,0.21842683898120882,-5455756.233664638,-2707314.450421901,1893621.9200609159,-4741.21195269358,16229.036484634613,-3844.1774679967025,92730.76958215947,-6344965.003511245,643002.0990317557,-4741.21195269358,16229.036484634613,-3844.1774679967025,-5203.894151893844,16222.274449480745,-3844.1774679967025,17464.833324822896,18.09462620540078
2032-12-22 13:55:48.373,2463589.080420989,-88.19187048772916,5.679731033313949,0.207720798917102,-5402682.340890782,-2797207.07749683,1915016.3654124585,-4789.8045108609995,16217.173617585719,-3834.0023553100314,200271.74527747696,-6344078.905735399,627045.179086525,-4789.8045108609995,16217.173617585719,-3834.0023553100314,-5252.4220947848335,16202.569569889414,-3834.0023553100314,17458.83079101843,17.422131765403417
2032-12-22 13:55:35.882,2463589.0802764124,-85.29889580176828,5.243935714691077,0.1771511483511074,-5235007.594134661,-3060878.0516525446,1976449.5017665222,-4932.355792603768,16181.48365657103,-3804.0133789948695,520578.6900824801,-6330427.32709746,579067.5906478628,-4932.355792603768,16181.48365657103,-3804.0133789948695,-5393.97788759689,16143.522455358594,-3804.0133789948695,17440.723394002995,15.47576004541766
2032-12-22 13:55:29.379,2463589.080201148,-83.80294589358311,5.035960885216029,0.16341274418283203,-5142883.5320420265,-3193283.293024383,2008562.2661772966,-5004.608927441171,16162.630960681106,-3789.7927970302735,685886.1491524533,-6316714.189338692,556159.7175066229,-5004.608927441171,16162.630960681106,-3789.7927970302735,-5465.231044541167,16112.615348031512,-3789.7927970302735,17431.226381647957,14.5049432334719
2032-12-22 13:55:28.079,2463589.0801860956,-83.40678777185025,4.953028035469261,0.158087828959969,-5118004.707290736,-3229489.580519555,2014213.6073997924,-5023.630606004344,16157.979262274592,-3784.47822272966,729635.9006330797,-6312608.730389902,547022.9065418837,-5023.630606004344,16157.979262274592,-3784.47822272966,-5483.953348281296,16104.773367059479,-3784.47822272966,17428.70462624199,14.266058258123403
2032-12-22 13:55:24.666,2463589.0801466,-82.681653870303,4.852445465987208,0.15174717495986942,-5071698.466553483,-3292491.9921898027,2029286.262825943,-5058.125687673671,16148.807565223002,-3777.6856494553945,809587.8338399386,-6303805.779622226,535940.1299294473,-5058.125687673671,16148.807565223002,-3777.6856494553945,-5517.806508581728,16089.771482407801,-3777.6856494553945,17424.059340129425,13.814140375827058
