m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.479416,-53933852872.70512,-589120540.548651,28689.870123806708,-27502.681579504617,-4878.69371455906
4.867466257521635e+24,85867685278.11917,65805003527.71918,-4048904997.6760073,-21408.577743823036,27647.206584169624,1615.409555486304
5.972365262433514e+24,-2117988288.7174628,147133540603.15863,-10349405.051821616,-30266.39461375471,-531.6867427518323,-0.38012636262170574
7.346031390779777e+22,-2486870167.9729037,147295919070.92978,-38371067.86545443,-30671.10259106527,-1410.1597316098973,52.0535417251098
6.417120205436417e+23,-246481683319.8545,-8600683429.073364,5860214478.739885,1745.1037399395536,-22144.03175804872,-506.876571963078
1.8981871943454438e+27,490753637407.814,-581147155569.1649,-8562708687.532339,9832.0799648724,9048.202999445537,-257.55810109645876
5.683361026390224e+26,-74249896608.97539,1346078553895.0269,-20401998201.443405,-10161.811912899282,-546.7861262871289,414.3409766985835
8.681273407389496e+25,40663727514.43906,2844899353345.1904,9998455885.888317,-6853.394991055364,-214.4836668281653,87.77182051838525
1.0241261669693524e+26,4280568711705.9604,1262752179710.3413,-124779536614.5863,-1567.4746291429246,5253.583105065036,-72.35860962752768
0.0,-2169032113.460541,147154729611.4696,-12918914.205572853,-35488.5204101813,11989.95345605925,-2413.4099324702984
0.0,-2142586415.171136,147147761780.5881,-11779372.207886206,-34439.899162696485,12835.910918645106,-2737.272103126709
0.0,-2161187433.7950935,147152594355.6912,-12535345.35692497,-35313.7429681367,12150.071043374252,-2464.1964751694236
0.0,-2169061726.8975377,147154727573.19153,-12916411.739170695,-35489.28901976042,11989.376757134936,-2413.302526913764
0.0,-2137582007.7885835,147146586919.26138,-11667806.166030092,-33920.52832173638,13164.490890156581,-2911.412115937097
0.0,-2101028683.5903852,147128416511.37314,-7664341.523980096,-37717.67456327247,12064.904806587105,-2460.2725007695553
0.0,-2171016121.8946114,147155276069.31583,-13018462.875992931,-35524.326764355494,11956.067967434927,-2403.2143710501696
0.0,-2095561981.7206829,147126361688.8377,-7235832.558940806,-37408.05215625494,11824.753334585313,-2378.691543839154
0.0,-2135504343.5462406,147146091166.79413,-11635345.08818048,-33625.51394039785,13330.56448885677,-3015.627212269025
0.0,-2097005334.6585507,147126894039.05215,-7344167.724156352,-37473.980073082996,11876.888628788323,-2395.56271467247
0.0,-2099126190.2589774,147127694830.2041,-7511970.606362029,-37589.652329023746,11966.814289785456,-2425.6979708073973
0.0,-2090193981.4085648,147124431721.68698,-6845317.811370219,-37222.9943608652,11675.868381150967,-2333.139574838681
0.0,-2146368261.815597,147148710686.64523,-11906982.879047476,-34711.19235457854,12641.660317728089,-2649.0622673712746
0.0,-2074978468.9895577,147119145272.60785,-5784473.687374289,-36947.22734267989,11449.804838831158,-2270.76538703461
0.0,-2170215165.514761,147155046935.07965,-12974924.48544018,-35510.37441971685,11969.430252550132,-2407.2659318226483
0.0,-2084606830.2683446,147122448573.59003,-6443655.750681532,-37092.66607975423,11569.733028158007,-2302.9149485306048
0.0,-2175631316.109102,147156543190.01917,-13251412.300848145,-35598.0464299565,11885.247662544336,-2382.4655241682567
0.0,-2136714802.5676835,147146381395.64975,-11652270.136911122,-33804.54086479125,13231.399681388473,-2952.180345242268
0.0,-2158189589.198055,147151788303.07727,-12397543.409391942,-35228.44159791612,12225.235798369416,-2489.3621721995996
0.0,-2162586036.488311,147152965067.5462,-12601415.941165298,-35349.6967531089,12117.959314712965,-2453.624934386176
0.0,-2071483635.887085,147117954173.24173,-5547786.556830328,-36909.03098993386,11418.335184200228,-2262.6624173832206
0.0,-2090149100.3414767,147124410621.54462,-6838909.980503697,-37221.605205283995,11674.852109379968,-2332.880028947294
0.0,-2155212801.872997,147150989179.68027,-12261321.360191168,-35130.03520013844,12309.727232534628,-2519.0177393196886
0.0,-2134562646.0570471,147145893335.02136,-11632450.53743467,-33467.433888777414,13411.834953948308,-3071.8413204603253
0.0,-2157352625.7172484,147151558103.13913,-12357282.244549597,-35202.46033423667,12247.88718116857,-2497.210035221221
0.0,-2135227936.2717984,147146045395.9694,-11637624.124498697,-33579.47878664744,13353.859395620379,-3031.36146132339
0.0,-2101722869.8583603,147128691240.14005,-7723104.500522886,-37772.46659565413,12105.788352335681,-2475.2614145300054
0.0,-2163234470.067537,147153146067.0393,-12635095.70212184,-35365.371312299125,12103.696211547687,-2448.944681061
0.0,-2079014343.2148736,147120519468.18295,-6058451.654972236,-36999.57208330157,11493.041393483134,-2282.113480255934
0.0,-2102435670.4888756,147128967277.05804,-7780981.927153986,-37833.27759007333,12151.19570133158,-2492.353688313832
0.0,-2166761901.3191586,147154100521.6983,-12804395.309952985,-35444.02158416067,12031.651597306023,-2426.2251759722853
0.0,-2070951724.1460729,147117778350.5713,-5513340.523953621,-36903.750822724345,11413.948057938125,-2261.540268258683
0.0,-2164142582.1529536,147153385581.84946,-12675531.786333153,-35386.940881668874,12084.198656293685,-2442.785258907082
0.0,-2092288113.1438282,147125171181.4951,-6992431.598792718,-37285.846800752326,11726.954365595591,-2348.3877212155903
0.0,-2152393469.7294054,147150252046.3179,-12140767.197549429,-35020.32101016307,12400.74765338678,-2552.4196397620635
0.0,-2165918642.7843823,147153869328.49442,-12762019.129231742,-35426.35929550389,12048.01649550626,-2431.356788391109
0.0,-2101677992.8414927,147128671839.91028,-7718338.21729973,-37768.66023635647,12103.052744804652,-2474.274843207797
0.0,-2090798763.8887491,147124639904.89044,-6886399.9594498435,-37240.044219891206,11689.860344087272,-2337.2739748019967
0.0,-2167521262.3907466,147154307693.01566,-12842531.047787843,-35459.427557466784,12017.328265456574,-2421.7649574252487
0.0,-2102898334.2838826,147129155080.74582,-7821990.115065291,-37876.48757115819,12182.656229758739,-2504.408078032311
0.0,-2159533394.969751,147152141497.24246,-12457460.731217407,-35268.44129001301,12190.380325777127,-2477.553848872709
0.0,-2175465433.17629,147156505593.70337,-13243874.243098833,-35595.47966890966,11887.638789919956,-2383.1789526113303
0.0,-2072629383.8140757,147118348449.0604,-5626705.832292519,-36920.959849618164,11428.123039587612,-2265.1643822233295
0.0,-2101205022.1054988,147128489315.34265,-7678760.188265802,-37731.340694710074,12074.964509236264,-2464.0060497871373
0.0,-2176122852.7598033,147156685916.13605,-13276586.13964485,-35605.082943511654,11878.30973588878,-2380.517482934998
0.0,-2101604362.7165966,147128648630.74796,-7712633.1320036575,-37763.050299058195,12098.53735199426,-2472.676921150026
0.0,-2157760907.588558,147151673837.69214,-12377087.953166323,-35215.17269686578,12236.744070874052,-2493.375151582261
0.0,-2074154405.0301185,147118859487.6442,-5727388.6112117,-36937.63707333854,11441.942747376746,-2268.729118053006
0.0,-2091664287.3860815,147124952024.19968,-6949709.8058806155,-37266.14868725968,11710.932987528367,-2343.5412361085687
0.0,-2158677785.869639,147151915164.12674,-12417507.689045887,-35243.339956742784,12212.320249746806,-2485.049481242812
0.0,-2179097358.7381225,147157511229.29846,-13430826.771194438,-35645.76295670197,11838.400517751177,-2369.171291171363
0.0,-2176551287.2885504,147156794722.79163,-13297298.451421363,-35611.35462822464,11872.309846475475,-2378.7761083544924
0.0,-2156319896.173186,147151287679.6654,-12312747.370196398,-35168.374584355464,12277.057058745962,-2507.3361189840834
0.0,-2070097622.2955804,147117495647.98514,-5457179.108873246,-36895.50455928342,11407.103455689152,-2259.802169797365
0.0,-2102589363.4471028,147129028083.96997,-7796093.497048587,-37847.26902720118,12161.50380312705,-2496.1521370911437
0.0,-2101284042.979586,147128523518.18018,-7687542.474683452,-37737.70168945416,12079.549611639486,-2465.615581518847
0.0,-2104880874.8572626,147129932581.24338,-7988556.629180235,-38093.01750701473,12339.6249118873,-2567.881767044086
0.0,-2098057390.2597015,147127292076.12582,-7428704.078696206,-37528.39659595902,11919.293195070168,-2409.545220070563
0.0,-2177692475.5858383,147157127114.8895,-13360140.938166447,-35626.96970785964,11856.833357843738,-2374.352082298123
0.0,-2142495291.0037673,147147745016.86697,-11779877.749659419,-34431.90508105692,12841.187619133398,-2739.4723830190323
0.0,-2142724210.9667096,147147794476.23834,-11783370.611517329,-34451.31552696442,12828.113936418511,-2733.5131557724885
0.0,-2152096353.906854,147150177252.21686,-12128063.456233006,-35007.599624893584,12411.035800436963,-2556.3781196705486
0.0,-2094183395.9093792,147125863189.28748,-7135965.036110659,-37352.7176234949,11780.489531729678,-2364.722939600464
0.0,-2156974194.1739964,147151457602.45096,-12341002.633623732,-35190.22168361844,12258.426700681239,-2500.8235490390475
0.0,-2159858296.1566124,147152227994.01443,-12472299.031057803,-35277.69105276889,12182.242093591096,-2474.8271816023357
0.0,-2161151418.145833,147152581561.63385,-12535502.214664524,-35312.84929979742,12150.940995352852,-2464.343669209327
0.0,-2135014548.7426426,147145992238.24026,-11634673.569639962,-33544.81026341302,13372.30903799242,-3043.9784168596675
0.0,-2160513759.1517572,147152404991.6644,-12502111.548477018,-35295.85732080984,12166.14108401751,-2469.5068327108834
0.0,-2178048202.4686255,147157221799.20865,-13377613.67603193,-35631.85019178721,11852.087454686982,-2373.00970519102
0.0,-2153193236.9133115,147150459611.49005,-12173219.230398633,-35053.30785536387,12373.70438081425,-2542.413524169689
0.0,-2167303153.064255,147154249066.1738,-12831033.950440235,-35455.038030029005,12021.39851815205,-2423.0596817673295
0.0,-2137308412.334557,147146513365.5496,-11660255.367330592,-33885.729499675545,13185.30567500203,-2923.9041733814947
0.0,-2165676713.995884,147153804272.07166,-12751017.733170165,-35421.140979093805,12052.81849356445,-2432.832439437464
0.0,-2081306143.5976589,147121304945.89053,-6215815.291771422,-37034.32213120088,11521.727919828594,-2289.7837258336663
0.0,-2078099590.54413,147120207418.70175,-5996623.715588772,-36986.802587261984,11482.493442853895,-2279.3160120821303
0.0,-2151921885.271464,147150127526.00287,-12120601.974444147,-35000.233888233524,12417.147177534453,-2558.620118576126
0.0,-2178385888.9366174,147157315613.67795,-13394119.748247908,-35636.3751196639,11847.632781325996,-2371.7779077668038
0.0,-2150092082.871719,147149658416.89755,-12046612.478231568,-34916.11957777397,12484.420310310892,-2584.650801858062
0.0,-2162582847.061186,147152972342.0885,-12603533.523934003,-35349.40912258434,12118.070940748968,-2453.638278943843
0.0,-2088510124.8093805,147123823757.73474,-6719126.949530882,-37178.41803239831,11639.82275530968,-2322.721186650704
0.0,-2104053002.3999887,147129605987.17136,-7918497.900792996,-37995.065178153935,12269.338522606296,-2538.756167365362
0.0,-2155369102.6214523,147151029027.11505,-12267494.021419853,-35135.669830593346,12305.00007216664,-2517.3526881240596
0.0,-2175102718.6749735,147156403358.55203,-13225547.640652241,-35590.129031498545,11892.859738130015,-2384.6662768603182
0.0,-2147362753.550763,147148959161.4447,-11942650.48366056,-34771.179622335774,12596.721386214587,-2630.017008286182
0.0,-2184830004.787302,147159118439.42285,-13733174.645660728,-35713.635056390274,11770.573433326956,-2350.4421429740655
0.0,-2176152276.4503174,147156688468.83704,-13277634.364375934,-35605.59157378216,11877.883745585279,-2380.3728504902033
0.0,-2156209641.50029,147151256361.04803,-12306880.846767262,-35164.71251393907,12280.226916959684,-2508.4850041167824
0.0,-2138795220.7140205,147146852322.91565,-11684289.466257425,-34069.66164770537,13076.13430962606,-2861.129525406566
0.0,-2146373749.4219398,147148699120.4302,-11903386.3632599,-34712.22252387004,12641.346525192641,-2649.0139890424252
0.0,-2155324063.7697334,147151027040.3323,-12269563.584770527,-35133.70874359456,12306.431291420551,-2517.733259041484
0.0,-2097455014.6322248,147127070949.9687,-7383453.769099485,-37496.89048045802,11894.508804065805,-2401.288401515945
0.0,-2169059522.6940026,147154734402.20087,-12918229.100001842,-35489.098130397404,11989.445400209255,-2413.312214163329
0.0,-2104242711.8403423,147129686854.53015,-7936882.781570543,-38017.09134380967,12284.731424101741,-2545.011522978004
0.0,-2092243485.61444,147125152367.1011,-6988883.096340093,-37284.318865093,11725.790872887344,-2348.0269007446186
0.0,-2164021497.4956484,147153357466.22977,-12672173.453152388,-35384.014201367616,12086.790764918509,-2443.5442309718906
0.0,-2083953834.9340417,147122226722.8064,-6401755.214328177,-37080.336081079535,11559.52217862438,-2300.0647170004795
0.0,-2139217259.9436738,147146947924.74585,-11692670.886621015,-34117.486384070515,13046.825236037694,-2844.8394589620902
0.0,-2151105210.3045526,147149917259.9163,-12087192.736854155,-34963.87733176462,12446.443181652934,-2569.833786481376
0.0,-2149153490.6593285,147149411814.58395,-12008168.72832194,-34869.41314946487,12521.288182393988,-2599.312153079795
