t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d,e,q,tp,node,peri,i
240932730.6275227,3,892,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2079016509.567525,147123718661.8356,-6766660.785184957,-36524.14263389905,13413.091279964241,-2806.2098595618454,0.9525605867163699,0.6615620238033684,0.8514978635736407,2460636.9177135103,271.36561138437713,134.36130211428144,3.408225326204648
240932730.6275227,3,105,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2076584181.662054,147122656194.9791,-6544499.815042011,-36768.950447933224,13249.669548774329,-2755.184069943822,0.9778695129245452,0.6615621110088237,0.851497885579467,2460636.917715887,271.36561243083764,134.3613049471825,3.4082258672326917
240932730.6275227,3,517,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2076888560.3064995,147122799312.83377,-6575073.112194777,-36741.55733822426,13276.141947794133,-2763.2707272810208,0.9714812034090237,0.6615620825798905,0.8514979281657329,2460636.9177083406,271.3655955343706,134.36131894295025,3.4082253359348167
240932730.6275227,3,299,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2078748839.0625286,147123605006.8376,-6742950.851331115,-36553.359672664126,13399.983367652569,-2802.01044088306,0.9528988036209187,0.6615620248678161,0.8514978876733681,2460636.917713202,271.3656077205313,134.36130719190953,3.408224738827731
240932730.6275227,3,137,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2080760674.8640804,147124480431.84058,-6924250.770325057,-36327.277224560916,13471.798783858416,-2825.965425300346,0.9623424994781878,0.661561950162053,0.8514978733769701,2460636.9177116305,271.36561381618543,134.36129867723366,3.408225377437839
240932730.6275227,3,216,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2078277909.5615215,147123406552.84445,-6702117.805677578,-36603.68426130528,13374.416186575201,-2793.840652458154,0.9546980774834181,0.661562029018493,0.8514979249461051,2460636.917708026,271.36559486188753,134.36131942953304,3.408224326910714
240932730.6275227,3,828,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2075837160.4432106,147122334228.70328,-6477294.5173205435,-36831.61808079318,13186.089902787182,-2735.8472685764664,0.9940064247949688,0.6615621322051864,0.8514979058654056,2460636.9177148626,271.3656079790148,134.3613101213671,3.408226468204763
240932730.6275227,3,744,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2078766495.4924812,147123612541.05087,-6743291.289388806,-36551.455405120505,13400.792549958222,-2802.4117949388738,0.9528854697832848,0.6615620211861076,0.851497894985973,2460636.917714264,271.36561675422155,134.3612998717579,3.4082269852904035
240932730.6275227,3,193,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2076990777.6266203,147122836820.21622,-6583212.9258679,-36732.07542031734,13282.985010356224,-2765.320971178833,0.9703058093898975,0.6615620939959773,0.8514978888722506,2460636.917711971,271.36560175810405,134.3613125649319,3.4082254005265407
240932730.6275227,3,429,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2078927778.2310886,147123686385.70117,-6759716.91393099,-36533.69954171936,13409.851965567099,-2805.2069887365956,0.9522206633882325,0.6615620242297398,0.8514978726255771,2460636.9177065957,271.36560532171467,134.3613024122844,3.4082254241115875
240932730.6275227,3,540,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2077897292.929431,147123240355.13116,-6667511.537397839,-36643.28096007321,13350.163211431547,-2786.200212612824,0.9578331075234735,0.6615620414658004,0.8514979313620747,2460636.917709075,271.36559380234735,134.36132149889198,3.408222943246636
240932730.6275227,3,174,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2080980414.1174574,147124574678.35556,-6943913.322828978,-36302.480041375726,13475.063919918315,-2827.178220551537,0.9653273194864773,0.6615619423666869,0.85149787063031,2460636.917712088,271.36561362615817,134.36129915318068,3.408224706109156
240932730.6275227,3,160,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2076622614.7460432,147122672158.61578,-6547840.282471351,-36765.54083447276,13252.695445889878,-2756.1070627153267,0.9771921816699539,0.6615621007256857,0.8514979067672469,2460636.9177201632,271.365613581869,134.36130956458655,3.408225289503329
240932730.6275227,3,387,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2075858923.2632427,147122348782.3747,-6481520.146746926,-36829.99167481162,13188.933140183297,-2736.6097327878556,0.9930447164145992,0.6615621216621833,0.8514979306594169,2460636.9177113865,271.36559355101105,134.3613240162027,3.408224019393108
240932730.6275227,3,629,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2076279664.4166918,147122524148.5119,-6517811.794610977,-36795.30680496592,13224.288288853417,-2747.349067822941,0.9840191721087618,0.6615621357432526,0.8514978544872147,2460636.9177105185,271.36560484461125,134.36130481604053,3.408225967694182
240932730.6275227,3,789,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2082597876.923564,147125282546.26773,-7089744.728573322,-36124.78167188076,13476.019134366677,-2829.332406670322,0.997178110098925,0.6615618334880592,0.8514979799782315,2460636.917708719,271.36559795927315,134.3613215938434,3.4082239781192527
240932730.6275227,3,114,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2081105206.35254,147124635952.53943,-6955759.296035685,-36287.936605388924,13477.818174663327,-2828.310183900973,0.9666901342395007,0.6615619094319632,0.8514979403701114,2460636.917712737,271.36561170682165,134.36130800631372,3.4082261533163036
240932730.6275227,3,578,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2076610196.5950804,147122673272.05515,-6549213.613878369,-36766.69534313908,13252.87329247906,-2756.066228169746,0.9768924462838331,0.6615620994391006,0.8514979125333471,2460636.917712527,271.36559760772184,134.361319002696,3.408222740272557
240932730.6275227,3,516,-2074242012.5203295,147134302699.64734,-10348857.354458138,-30266.481121180484,-522.8462884370474,-0.377735494814408,-2077178539.576787,147122914100.69818,-6598806.570429064,-36714.40991324156,13296.599173998495,-2769.5616004793073,0.9677185438079271,0.6615620939353344,0.8514978698716077,2460636.917715803,271.36561141089123,134.36130434890538,3.4082247762605777
