t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d,e,q,tp,node,peri,i
240933319.15280616,3,104,-2092054591.6430202,147133993932.1508,-10349079.948189482,-30266.446208129208,-526.4459213525033,-0.3787100411399242,-2084742859.5173573,147124313471.96036,-6868426.8384446725,-37583.1869727068,12824.640869687055,-2660.6471772826476,0.9893894095385883,0.6615626759223004,0.8514977819115,2460636.917716298,271.36559414465756,134.3613135963299,3.4082256207018617
240933383.06336683,3,103,-2093988937.0674696,147133960274.20547,-10349104.155139733,-30266.442391055385,-526.836822572962,-0.37881578588478476,-2086050132.7602444,147124660057.76132,-6935679.411323429,-37633.13352426682,12784.63506626893,-2652.5516939346903,0.9952184292706955,0.6615627156866509,0.8514977829330865,2460636.9177189544,271.3656070295836,134.36130333655612,3.4082285744793137
240933993.2624577,3,46,-2112457481.5261257,147133637660.15753,-10349335.616042402,-30266.405693114244,-530.5690431761477,-0.37982456062422115,-2101594830.7159817,147129176109.17343,-7849114.090923568,-38183.55363586335,12600.41261650296,-2650.7682804811825,0.9412155620944579,0.6615630009415315,0.8514977497337195,2460636.9177294993,271.36561571425136,134.3613004193086,3.4082283495300176
